Territory,Year,arson,attacks,attempted homicides,bag-snatching,bank robbery,blows,burglary,car theft,child pornography and possession of paedo-pornographic materials,corruption of a minor,counteractions of goods and industrial products,criminal association,culpable injuries,cybercrime,damage followed by arson,damages,exploitation and abetting prostitution,extortions,forest arson,homicides for theft or robbery,homicides from road accident,homicides of mafia,house robbery,infanticides,intellectual property violations,intentional homicides,kidnappings,mafia criminal association,manslaughter,mass murder,menaces,money laundering,moped theft,motorcycle theft,offences,other crimes,pickpocketing,post office robbery,receiving stolen goods,robberies,sexual activity with a minor,sexual violence,shop robbery,shoplifting,smuggling,street robbery,swindles and cyber frauds,terrorist homicides,theft from vehicle,theft of art objets,theft of cargo trucks carrying freights,thefts,total_crime,trafficking and drugs possession,unintentional homicides,usury,all_levels_education,"no educational degree, primary and lower secondary school certificate","tertiary (university, doctoral and specialization courses)",upper and post secondary
Lazio,2019,9.7,0.2,2.3,31.7,0.4,17.6,247.6,284.1,1.1,0.2,14.7,0.6,107.6,22.6,10.1,438.3,1.0,15.8,3.6,0.1,2.0,0.0,3.5,0.0,2.0,0.5,1.4,0.1,0.1,0.0,112.7,2.9,17.7,89.6,0.0,831.2,357.2,0.2,33.3,49.0,1.0,8.8,9.7,137.4,0.0,24.6,363.8,0.0,333.8,0.4,0.6,2366.9,5337.3,95.9,3.3,0.4,29.881610000000002,36.927988,18.810562,33.113455
Lazio,2020,12.2,0.4,2.0,21.4,0.2,18.6,194.1,234.1,1.3,0.3,5.8,0.8,93.1,30.9,11.7,404.0,0.7,15.6,5.4,0.0,1.9,0.0,3.9,0.0,0.8,0.5,1.7,0.0,0.1,0.0,114.4,2.9,12.9,64.6,0.0,845.7,214.0,0.2,21.7,42.6,0.6,7.5,7.2,99.2,0.0,23.1,423.0,0.0,243.9,0.3,0.4,1685.2,4561.3,76.7,3.5,0.7,28.261855,40.709361,15.939291,29.705494
Lazio,2021,12.3,0.4,2.0,27.7,0.3,20.7,225.5,247.5,1.5,0.2,7.6,0.7,100.2,31.1,12.0,468.8,0.6,18.3,5.4,0.0,1.7,0.0,3.1,0.0,0.3,0.5,1.4,0.1,0.1,0.1,116.3,2.0,15.4,75.0,0.0,895.5,315.2,0.1,21.0,47.5,0.8,8.4,7.7,115.5,0.0,27.3,476.6,0.0,237.5,0.5,0.4,2004.0,5078.2,74.0,3.1,0.3,30.135453,42.929028,15.099326999999999,33.118206
Liguria,2018,12.0,0.5,2.6,28.0,0.3,24.6,348.1,49.3,1.9,0.5,19.3,0.4,122.9,65.0,8.6,771.7,1.3,14.0,5.3,0.0,1.7,0.0,2.5,0.0,0.4,0.5,1.5,0.0,0.0,0.0,121.4,2.6,23.2,108.2,0.0,747.2,405.6,0.4,53.3,44.8,0.8,11.5,9.1,182.7,0.7,26.7,387.0,0.0,194.2,0.6,0.3,2077.1,5588.7,102.7,2.5,0.2,29.518290999999998,44.634605,14.317768,27.938823
Liguria,2019,13.8,0.5,1.6,23.1,0.5,23.7,299.2,36.4,4.3,0.2,22.0,0.6,133.4,76.1,5.8,769.2,1.4,13.8,8.9,0.0,1.4,0.0,2.2,0.0,0.1,0.5,1.0,0.1,0.1,0.0,116.8,4.1,17.2,101.1,0.0,807.0,319.1,0.3,49.8,39.2,0.5,11.4,8.1,160.1,0.5,22.4,460.0,0.0,151.1,0.5,0.3,1748.5,5409.9,99.4,1.9,0.1,28.885835,46.990391,14.384920999999999,25.67316
Liguria,2020,10.2,0.6,1.7,18.1,0.3,24.8,182.5,28.6,7.6,0.4,8.8,0.6,115.1,75.2,5.9,669.9,1.3,10.2,6.8,0.0,1.4,0.0,2.4,0.0,0.2,0.6,1.6,0.1,0.1,0.1,114.3,2.3,11.0,66.0,0.0,806.3,197.8,0.0,30.3,39.3,0.9,11.2,6.6,124.7,1.3,23.7,496.5,0.0,91.0,0.5,0.2,1209.0,4669.3,78.6,1.9,0.2,25.473684,41.525052,12.770979,23.168345000000002
Liguria,2021,15.4,0.6,1.1,19.7,0.0,29.9,206.5,25.9,4.8,0.7,14.9,1.5,131.1,74.4,6.6,734.9,1.1,13.0,11.0,0.0,1.8,0.0,3.0,0.0,0.3,0.3,1.7,0.0,0.0,0.0,118.0,3.2,15.7,77.9,0.0,876.5,202.2,0.1,39.3,42.5,1.0,12.6,7.7,144.8,1.7,24.3,551.1,0.0,96.6,0.3,0.3,1377.7,5169.8,75.5,2.6,0.1,25.173563,38.430311,13.494392,23.582796000000002
Lombardia,2018,5.8,0.3,1.4,29.2,0.3,26.9,413.6,138.2,0.9,0.3,5.8,0.7,103.7,30.5,8.1,583.3,0.8,17.6,0.9,0.0,1.8,0.0,3.5,0.0,0.3,0.4,1.2,0.0,0.0,0.0,108.4,2.0,14.6,38.9,0.0,691.2,378.0,0.2,26.8,53.4,0.9,10.2,7.4,190.7,0.0,31.0,340.3,0.0,352.2,0.5,1.1,2435.4,5225.400000000001,58.2,2.5,0.2,18.025215,23.917585,10.74344,17.868676
Lombardia,2019,6.2,0.3,1.3,22.3,0.5,29.1,336.7,122.7,1.1,0.4,4.5,0.4,104.2,35.1,7.0,603.1,0.6,13.9,1.6,0.0,1.7,0.0,3.0,0.0,0.2,0.4,1.4,0.0,0.0,0.0,110.7,2.6,11.7,31.0,0.0,738.1,345.8,0.2,23.5,48.9,1.0,9.4,6.8,165.0,0.0,28.7,384.5,0.0,314.7,0.5,1.2,2167.2,5055.7,59.7,2.3,0.2,16.740707999999998,23.738901,9.091836,15.952904
Lombardia,2020,5.0,0.3,1.0,18.4,0.3,26.9,201.0,84.4,1.8,0.2,2.6,0.5,83.5,44.4,6.8,485.7,0.4,12.9,1.4,0.0,1.3,0.0,2.3,0.0,0.2,0.4,1.2,0.1,0.0,0.1,101.6,3.6,8.9,23.3,0.0,678.2,191.4,0.3,18.1,40.7,0.8,8.8,5.7,113.0,0.0,23.7,430.1,0.0,191.3,0.3,0.7,1361.2,4017.1,55.3,2.4,0.2,15.505602999999999,20.589241,9.584073,15.272422
Lombardia,2021,5.5,0.4,1.2,25.4,0.3,29.7,253.5,92.7,1.9,0.3,3.7,1.3,101.1,58.4,7.3,579.1,0.5,16.6,1.4,0.0,1.4,0.0,2.8,0.0,0.2,0.4,1.3,0.1,0.1,0.1,108.0,2.2,10.0,26.5,0.0,724.8,282.2,0.1,20.4,52.8,0.9,10.6,6.3,138.8,0.0,32.3,535.5,0.0,180.8,0.5,0.3,1684.2,4677.0,46.2,2.0,0.1,17.605421,23.168506,10.480963,17.60982
Marche,2018,4.1,0.3,1.4,6.5,0.5,19.2,270.5,52.9,0.7,0.1,9.0,1.7,95.3,21.5,5.6,306.5,1.6,12.3,0.9,0.2,1.4,0.0,2.7,0.1,0.0,0.6,1.0,0.0,0.1,0.1,102.4,2.9,9.3,6.9,0.0,633.3,97.9,0.3,25.6,18.6,0.3,6.9,2.6,97.6,0.1,7.8,258.0,0.0,143.2,0.5,0.7,1241.9,3502.5,72.5,2.4,0.3,24.599397,29.224362999999997,17.541364,24.829738
Marche,2019,7.2,0.3,0.8,4.9,0.4,21.6,234.9,39.4,1.2,0.1,3.7,1.2,95.9,26.6,4.1,316.7,0.9,11.0,3.0,0.0,1.9,0.0,2.0,0.0,0.5,0.3,1.2,0.0,0.0,0.0,92.3,3.0,9.9,6.9,0.0,670.8,76.7,0.5,21.9,16.1,1.0,6.6,2.1,81.9,0.0,5.8,278.7,0.0,114.8,0.9,0.9,1060.1,3369.8,63.3,2.7,0.1,26.094364,30.384588,19.362522,26.630731
Marche,2020,4.6,0.2,0.7,3.7,0.1,15.3,156.4,28.9,1.1,0.2,3.9,0.9,78.2,24.2,4.3,269.1,0.3,11.5,1.8,0.0,1.9,0.0,1.8,0.0,0.3,0.6,1.1,0.0,0.0,0.2,93.6,3.6,10.9,5.2,0.0,652.1,43.3,0.0,19.0,13.5,0.3,6.2,1.9,59.6,0.1,6.8,329.9,0.0,64.2,0.3,0.1,703.3,2926.6,54.0,2.4,0.4,22.617074,25.378982,19.669846,22.359331
Marche,2021,9.1,0.3,1.1,3.9,0.1,17.9,146.3,23.4,1.0,0.3,3.7,0.3,83.1,26.7,4.3,308.0,0.2,11.6,4.6,0.0,1.6,0.0,1.7,0.0,0.1,0.3,1.2,0.0,0.1,0.3,91.6,1.7,6.9,7.0,0.0,716.2,49.1,0.0,15.1,14.5,0.9,7.2,2.0,59.0,0.0,8.1,409.2,0.0,45.9,0.5,0.1,674.4,3091.7,48.1,2.6,0.1,21.424176000000003,27.109775,12.20936,22.601455
Molise,2018,13.0,0.3,1.3,4.6,0.7,16.0,177.8,106.5,1.0,0.3,12.0,0.7,82.4,38.1,5.9,282.7,0.3,12.0,2.9,0.0,0.7,0.0,2.9,0.0,1.3,0.0,1.0,0.0,0.0,0.0,125.7,2.6,10.4,7.5,0.0,601.8,56.3,0.3,20.2,14.3,1.0,6.5,1.6,62.5,0.0,4.9,311.7,0.0,76.2,0.7,1.0,1008.9,3287.3,59.3,1.6,0.3,38.437625,42.772232,26.847358,41.075374
Molise,2019,24.0,0.0,1.6,7.2,0.3,20.4,157.6,129.0,1.3,0.0,17.4,0.3,93.8,27.6,3.9,261.2,0.0,20.4,8.6,0.0,1.6,0.0,3.0,0.0,1.3,0.0,0.3,0.0,0.0,0.0,122.1,0.7,7.9,5.6,0.0,677.8,51.7,0.3,21.7,11.8,1.0,7.6,2.0,60.2,0.0,3.0,303.7,0.0,67.8,0.7,3.6,881.8,3366.1,57.6,2.0,1.3,36.643678,41.510579,19.946041,41.286175
Molise,2020,39.5,0.3,1.7,6.7,0.0,20.8,90.1,102.5,1.7,0.7,12.7,0.0,77.0,35.5,5.0,250.9,2.0,14.4,23.8,0.0,1.7,0.0,1.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0,119.9,2.3,4.0,3.3,0.0,729.9,14.7,0.0,19.4,7.4,0.7,7.4,0.3,32.8,0.0,4.0,355.4,0.0,31.2,0.3,1.3,543.0,3119.9,67.0,4.0,0.7,30.276108,36.7684,25.502912000000002,28.199208
Molise,2021,39.7,1.0,0.7,1.4,0.0,20.9,157.6,127.5,0.0,0.0,10.6,1.0,87.2,25.0,22.2,291.3,2.1,13.7,24.6,0.0,2.4,0.0,2.1,0.0,0.3,0.3,0.7,0.0,0.0,0.0,134.3,2.7,10.6,4.4,0.0,771.9,23.9,0.0,15.0,9.6,1.4,7.2,2.7,47.2,0.0,2.4,432.1,0.0,43.1,0.3,1.0,731.5,3461.5,60.2,3.8,0.0,32.973887,45.266877,20.258472,31.455146
Nord-est,2011,8.7,0.4,1.3,13.7,1.7,26.6,355.9,63.8,0.5,0.3,9.4,1.0,108.6,10.0,8.2,579.4,2.6,5.5,1.7,0.0,2.9,0.0,3.4,0.0,0.5,0.6,1.8,0.0,0.0,0.0,116.3,1.4,35.9,23.2,108.5,621.7,243.7,0.4,32.5,34.2,0.8,7.6,6.3,181.7,0.3,15.4,146.1,0.0,354.0,1.2,1.4,2475.1,5127.9,48.6,3.6,0.3,15.045447,0.0,0.0,0.0
Nord-est,2012,10.0,0.4,1.3,15.5,1.7,27.4,438.8,62.9,0.7,0.3,10.0,0.8,109.3,11.4,8.2,536.4,2.3,7.4,2.7,0.0,2.8,0.0,4.2,0.0,0.5,0.6,1.6,0.0,0.0,0.0,122.0,2.2,35.8,24.1,111.6,648.0,284.4,0.4,35.1,37.5,1.0,8.3,6.3,197.3,0.4,17.0,173.3,0.0,356.6,1.2,1.5,2672.5,5394.3,48.2,3.4,0.4,19.955673,0.0,0.0,0.0
Nord-est,2013,6.1,0.5,1.1,16.8,1.8,25.9,474.0,57.6,0.7,0.4,8.7,1.3,104.2,13.6,6.8,508.3,2.3,7.7,0.6,0.0,2.6,0.0,4.2,0.0,0.4,0.4,1.6,0.0,0.1,0.0,120.9,2.3,26.3,21.3,109.0,750.6,316.9,0.3,40.7,41.4,0.9,8.1,6.8,209.3,0.3,19.4,231.5,0.0,351.2,1.0,1.7,2706.8,5577.4,47.4,3.2,0.8,23.520097,0.0,0.0,0.0
Nord-est,2014,5.3,0.4,1.0,16.2,1.1,25.6,510.0,57.5,1.2,0.4,9.5,1.0,102.6,14.8,5.9,413.9,1.9,10.8,0.4,0.0,2.4,0.0,4.4,0.0,0.3,0.3,1.5,0.0,0.0,0.0,119.0,1.6,21.2,18.9,105.1,696.1,333.6,0.3,36.5,39.0,1.1,7.8,6.8,218.8,0.3,18.7,212.8,0.0,362.7,1.6,1.2,2748.1,5410.2,46.1,2.9,0.8,23.346361,0.0,0.0,0.0
Nord-est,2015,6.1,0.3,1.3,17.6,1.3,27.0,447.4,51.4,1.1,0.4,10.7,1.5,99.5,14.8,6.4,417.7,1.8,13.4,0.9,0.0,2.5,0.0,4.1,0.0,0.3,0.4,1.3,0.0,0.0,0.0,112.3,2.2,17.2,15.5,96.2,681.6,335.1,0.2,34.1,36.7,1.1,6.8,6.1,214.0,0.5,17.6,239.4,0.0,333.2,0.8,1.4,2519.7,5176.0,45.1,3.0,0.6,21.9822,0.0,0.0,0.0
Nord-est,2016,5.6,0.5,1.0,17.5,0.7,22.7,420.1,46.3,0.8,0.3,7.8,1.1,99.4,15.0,5.7,362.5,1.6,13.4,0.9,0.0,2.5,0.0,3.4,0.0,0.4,0.5,1.4,0.0,0.0,0.0,100.6,2.0,14.3,13.6,17.5,684.6,313.5,0.3,31.4,33.5,0.7,7.3,5.8,195.8,0.0,16.8,243.9,0.0,306.4,0.7,1.1,2310.5,4746.5,51.2,3.0,1.2,20.317767,0.0,0.0,0.0
Nord-est,2017,6.3,0.3,1.0,18.2,0.5,23.6,380.5,39.4,1.0,0.4,5.8,0.6,103.2,15.2,6.7,361.6,1.4,11.4,1.8,0.0,2.9,0.0,3.5,0.0,0.3,0.4,1.4,0.0,0.0,0.0,101.8,2.6,13.1,13.5,1.9,737.8,314.9,0.2,29.2,33.1,1.1,8.3,6.1,179.6,0.0,16.2,258.5,0.0,268.4,0.7,0.6,2127.7,4639.3,58.0,3.5,0.5,18.78164,0.0,0.0,0.0
Nord-est,2018,3.7,0.5,1.1,15.2,0.4,23.3,374.8,37.4,1.2,0.3,5.4,0.6,104.4,18.6,5.4,378.8,1.0,12.3,0.2,0.0,2.5,0.0,3.2,0.0,0.1,0.4,1.3,0.0,0.0,0.0,99.9,3.0,10.0,10.1,0.0,723.4,288.9,0.2,25.3,32.3,0.8,8.8,5.6,164.9,0.0,16.6,292.5,0.0,262.3,0.6,0.8,1986.7,4531.0,58.9,3.2,0.2,17.940286,24.931896000000002,10.86957,16.999096
Nord-est,2019,4.7,0.2,1.3,12.8,0.4,24.4,337.5,34.7,1.4,0.4,4.5,0.4,107.0,24.7,5.3,377.5,1.1,11.5,0.9,0.0,2.8,0.0,2.6,0.0,0.2,0.4,1.2,0.0,0.1,0.0,101.7,2.7,9.2,10.0,0.0,772.4,260.9,0.2,21.6,28.8,0.8,9.5,5.6,147.2,0.0,14.6,339.3,0.0,245.2,0.5,0.7,1810.1,4449.9,56.8,3.7,0.2,16.37109,23.39875,11.231929000000001,14.711582
Nord-est,2020,4.6,0.3,0.9,11.2,0.2,22.6,235.1,25.9,2.1,0.4,3.6,0.8,89.9,27.7,5.0,322.2,0.8,11.9,1.0,0.0,1.7,0.0,2.6,0.0,0.1,0.3,1.2,0.0,0.0,0.0,96.0,2.6,7.3,8.0,0.0,710.7,133.2,0.1,18.3,27.0,0.6,8.9,4.7,100.1,0.1,14.4,416.0,0.0,140.7,0.4,0.4,1216.4,3738.3,53.3,2.7,0.2,17.218041,22.171689999999998,11.566834,17.068053
Nord-est,2021,4.8,0.3,1.1,12.6,0.1,27.3,279.7,25.7,2.4,0.4,3.6,0.8,100.1,32.2,5.1,360.6,0.7,14.6,1.5,0.0,2.2,0.0,2.8,0.0,0.9,0.5,1.0,0.0,0.0,0.0,99.6,2.3,7.6,10.1,0.0,763.7,143.9,0.1,19.8,32.5,0.8,11.0,5.3,109.5,0.0,19.5,495.0,0.0,122.3,0.4,0.4,1315.3,4083.6,48.7,2.9,0.2,15.847792,21.871699,9.659752000000001,15.353384
Nord-ovest,2011,13.0,0.8,1.8,28.3,2.5,29.3,456.4,190.0,0.7,0.2,10.7,1.2,115.3,13.2,10.3,979.3,2.5,8.4,4.3,0.0,2.2,0.0,4.2,0.0,1.4,0.7,2.1,0.0,0.0,0.0,134.3,2.5,42.8,71.1,111.6,687.4,357.3,0.7,37.5,68.6,0.9,8.9,10.7,201.5,1.2,35.2,175.0,0.0,472.9,1.1,2.9,2943.3,6244.3,58.5,2.7,0.4,19.057182,0.0,0.0,0.0
Nord-ovest,2012,12.9,1.0,1.8,33.4,2.4,30.3,528.5,184.8,0.8,0.2,10.9,1.1,116.7,14.3,10.5,902.4,2.2,9.1,4.9,0.0,2.1,0.0,5.7,0.0,1.1,0.7,2.4,0.0,0.1,0.0,136.1,3.0,43.8,70.2,113.5,700.3,391.8,0.7,41.6,74.8,1.0,9.4,12.4,224.7,1.6,37.5,206.9,0.0,442.2,1.0,2.8,3075.3,6405.8,56.9,2.6,0.6,24.237844,0.0,0.0,0.0
Nord-ovest,2013,8.3,0.9,1.6,34.8,2.3,29.3,575.8,178.8,1.1,0.3,10.3,0.9,110.7,20.5,9.2,850.2,1.8,10.1,1.9,0.1,1.7,0.0,6.6,0.0,1.0,0.6,1.9,0.0,0.1,0.0,136.1,3.1,32.8,57.0,110.8,798.2,403.8,0.7,42.0,77.3,1.0,9.1,12.5,234.9,1.6,38.3,249.1,0.0,449.2,0.8,2.6,3114.3,6530.799999999999,54.9,2.2,0.5,26.999053,0.0,0.0,0.0
Nord-ovest,2014,7.5,0.6,1.8,34.9,1.4,29.0,587.5,164.2,0.9,0.3,9.6,0.9,108.1,23.9,8.3,707.7,1.6,12.2,1.5,0.1,2.0,0.0,5.5,0.0,0.5,0.6,1.9,0.0,0.0,0.0,133.5,2.3,25.0,57.8,106.1,734.1,422.7,0.6,39.8,71.1,0.8,7.6,11.5,235.5,1.4,37.5,235.7,0.0,443.8,0.7,2.1,3074.0,6239.5,53.3,2.5,0.5,28.084519999999998,0.0,0.0,0.0
Nord-ovest,2015,9.7,0.6,1.5,32.9,1.1,28.2,524.8,149.6,1.2,0.2,9.7,1.1,106.0,22.4,8.7,731.0,1.7,14.3,3.4,0.0,2.0,0.0,5.4,0.0,0.7,0.6,1.6,0.0,0.0,0.0,129.6,3.0,20.9,49.5,97.3,699.0,397.9,0.5,36.0,62.1,0.7,7.7,9.1,213.1,1.4,34.1,254.3,0.0,420.7,0.7,1.6,2813.9,5926.7,53.0,2.6,0.4,26.103144,0.0,0.0,0.0
Nord-ovest,2016,8.7,0.4,1.4,30.0,1.0,26.1,470.1,146.9,0.9,0.3,9.7,0.6,106.3,25.1,8.1,639.6,1.7,14.4,3.0,0.0,1.6,0.0,4.8,0.0,0.5,0.4,1.5,0.0,0.0,0.0,117.8,2.6,18.3,43.6,22.8,718.8,391.3,0.5,34.1,56.9,0.8,8.0,8.7,204.8,0.4,31.0,274.9,0.0,391.6,0.7,1.4,2619.2,5513.3,57.6,2.1,0.5,24.461027,0.0,0.0,0.0
Nord-ovest,2017,10.1,0.4,1.6,29.8,0.7,26.6,418.1,130.8,1.0,0.3,7.8,0.8,106.8,27.6,9.7,647.3,1.2,13.2,4.3,0.0,1.7,0.0,3.9,0.0,0.4,0.5,1.6,0.0,0.0,0.0,115.3,2.4,16.8,42.9,2.2,724.1,370.1,0.3,31.6,56.3,0.7,9.0,9.0,191.7,0.1,32.3,305.9,0.0,346.4,0.6,1.1,2411.2,5345.6,62.8,2.3,0.4,22.277715999999998,0.0,0.0,0.0
Nord-ovest,2018,6.2,0.4,1.5,29.8,0.4,26.1,403.0,124.2,1.0,0.3,7.2,0.6,106.8,32.3,7.9,652.3,1.0,16.8,1.4,0.0,1.9,0.0,3.5,0.0,0.3,0.4,1.3,0.0,0.0,0.0,112.3,2.0,12.8,37.5,0.0,692.6,362.6,0.3,28.4,51.7,0.9,9.9,7.8,180.4,0.1,30.4,349.9,0.0,319.8,0.5,1.1,2257.5,5187.900000000001,63.9,2.7,0.2,20.829394,28.587761,11.550277,20.251682000000002
Nord-ovest,2019,7.2,0.3,1.4,24.2,0.4,27.1,334.6,110.7,1.4,0.3,5.9,0.5,108.5,38.1,7.1,661.5,0.8,13.9,2.8,0.0,1.7,0.0,3.1,0.0,0.2,0.5,1.3,0.1,0.0,0.0,114.1,2.7,10.4,31.3,0.0,738.3,325.0,0.2,27.1,45.0,0.8,9.3,6.7,158.4,0.1,26.3,408.6,0.0,281.0,0.4,1.0,2001.7,5055.599999999999,66.8,2.3,0.2,19.495217,28.322712,10.52931,18.039222000000002
Nord-ovest,2020,5.8,0.4,1.2,19.4,0.2,25.9,202.9,78.5,2.2,0.2,3.5,0.6,88.5,44.6,6.8,545.5,0.5,13.2,2.4,0.0,1.3,0.0,2.5,0.0,0.1,0.5,1.3,0.1,0.0,0.1,107.0,2.9,7.7,22.7,0.0,686.9,187.5,0.2,19.4,38.0,0.7,8.5,5.7,112.2,0.2,22.2,464.6,0.0,168.8,0.3,0.6,1287.5,4123.8,60.1,2.4,0.3,18.389999,25.321581000000002,10.738709,17.733739
Nord-ovest,2021,6.7,0.4,1.3,24.1,0.2,28.7,247.2,84.2,2.1,0.3,4.7,1.3,103.7,54.9,7.6,646.2,0.6,17.0,2.7,0.0,1.4,0.0,3.0,0.0,0.2,0.4,1.3,0.1,0.0,0.0,112.1,2.3,9.2,25.9,0.0,728.0,260.0,0.1,21.8,47.6,0.9,10.4,6.8,134.5,0.2,28.6,565.6,0.0,168.4,0.4,0.3,1575.7,4737.1,50.0,2.2,0.2,19.499785,26.791702,11.008735,19.005199
Provincia Autonoma Bolzano / Bozen,2018,2.6,0.6,1.3,11.9,0.9,23.8,196.6,16.6,1.7,0.2,1.3,0.2,103.5,9.4,5.1,193.2,0.8,17.8,0.2,0.0,1.5,0.0,0.9,0.0,0.2,0.8,1.1,0.0,0.0,0.2,87.1,1.3,8.5,7.4,0.0,647.1,218.9,0.0,26.4,32.5,0.9,12.1,4.9,157.9,0.0,19.6,167.3,0.0,143.9,0.6,0.2,1463.7,3689.1,75.9,2.1,0.2,8.538747,10.367056999999999,7.199158000000001,7.82839
Provincia Autonoma Bolzano / Bozen,2019,3.8,0.2,0.8,7.9,0.0,26.3,235.5,15.6,0.9,0.6,0.6,0.4,114.7,10.5,4.1,168.5,0.4,13.0,0.6,0.0,2.6,0.0,2.4,0.0,0.0,0.2,0.9,0.0,0.0,0.0,82.4,1.5,9.0,9.0,0.0,682.4,167.6,0.0,23.7,26.1,0.6,9.0,7.1,136.2,0.2,13.2,181.9,0.0,140.1,0.2,0.2,1406.6,3665.8999999999996,78.4,3.8,0.0,8.546129,11.930375,6.407458999999999,7.034231999999999
Provincia Autonoma Bolzano / Bozen,2020,6.9,0.0,0.8,5.4,0.0,24.4,118.5,10.3,1.5,0.4,1.1,0.2,87.2,12.9,3.4,158.3,2.1,16.3,0.9,0.0,1.9,0.0,0.9,0.0,0.0,0.6,1.1,0.0,0.0,0.0,87.2,2.8,3.9,7.1,0.0,742.0,108.0,0.0,25.9,33.0,1.3,6.9,6.4,124.5,0.0,21.8,183.6,0.0,94.9,0.4,0.0,975.7,3243.6000000000004,66.6,3.8,0.0,11.010047,15.474122000000001,5.3456019999999995,10.190946
Provincia Autonoma Bolzano / Bozen,2021,3.5,0.6,0.6,9.3,0.0,40.9,120.9,8.6,1.3,0.2,0.4,0.9,106.7,14.8,5.4,196.9,1.3,22.6,0.0,0.0,1.7,0.0,1.1,0.0,0.4,0.6,1.3,0.0,0.0,0.0,100.9,0.7,6.7,9.0,0.0,802.7,126.8,0.0,25.2,35.9,0.2,9.3,9.5,138.0,0.0,20.9,227.1,0.0,68.9,0.0,0.4,1064.2,3571.7999999999997,56.8,2.4,0.0,11.4635,15.169839999999999,8.160114,10.431643
Provincia Autonoma Trento,2018,3.7,0.9,1.7,5.7,0.0,21.6,272.7,14.6,1.1,0.4,7.6,0.4,76.6,16.3,6.3,254.2,1.3,8.1,0.2,0.0,2.0,0.0,0.9,0.0,0.0,0.4,0.7,0.0,0.0,0.0,74.6,15.2,6.1,3.0,0.0,671.8,145.8,0.0,13.1,16.1,1.3,7.4,1.9,92.9,0.0,11.8,274.6,0.0,195.9,0.7,0.0,1406.3,3573.4,70.9,3.1,0.2,14.219209,20.194824,7.200875,14.469854999999999
Provincia Autonoma Trento,2019,6.1,0.4,1.8,8.7,0.0,17.0,255.2,14.6,0.9,0.4,1.5,0.4,85.1,15.3,6.6,261.5,0.6,12.0,2.0,0.0,1.3,0.0,1.7,0.0,0.4,0.6,0.7,0.0,0.0,0.0,73.6,5.2,4.2,5.4,0.0,661.5,92.4,0.4,16.4,15.9,0.7,10.7,2.8,91.3,0.0,7.8,293.6,0.0,171.6,1.5,0.2,1191.1,3337.4,59.4,1.7,0.0,15.009796000000001,23.200824,6.89023,14.67788
Provincia Autonoma Trento,2020,4.2,0.2,0.9,2.8,0.2,16.3,111.4,9.7,2.9,0.4,0.0,0.6,71.2,13.8,4.0,220.3,0.7,9.7,0.7,0.0,1.7,0.0,1.7,0.0,0.0,0.2,0.6,0.0,0.0,0.0,71.9,4.4,3.5,4.6,0.0,651.8,54.7,0.0,10.6,17.6,0.4,7.7,5.3,69.3,0.0,7.2,252.4,0.0,75.2,0.4,0.2,674.0,2674.0,58.9,2.0,0.0,16.310102,22.812268,9.991632,16.191617
Provincia Autonoma Trento,2021,6.1,0.7,0.9,3.5,0.0,20.8,104.2,5.9,4.8,0.7,1.7,1.3,78.4,19.7,4.1,262.3,0.9,11.1,2.6,0.0,1.3,0.0,2.0,0.0,0.0,0.2,1.1,0.0,0.2,0.0,76.9,4.2,2.4,2.6,0.0,710.9,51.1,0.0,13.5,15.9,1.1,9.6,4.6,73.8,0.0,7.0,309.3,0.0,39.3,0.4,0.0,661.4,2903.0,59.4,2.2,0.2,14.354492,20.948734,6.603727,14.858281
Puglia,2018,17.7,0.4,2.7,24.1,1.0,19.0,251.7,452.3,0.6,0.2,17.6,0.5,106.6,12.4,30.2,300.3,1.3,20.0,4.0,0.0,1.3,0.2,3.3,0.0,2.8,0.8,2.1,0.4,0.1,0.0,137.1,4.2,16.3,29.1,0.0,669.1,79.5,0.7,34.6,42.6,0.6,4.8,9.9,87.3,0.1,16.4,227.6,0.0,177.2,0.4,2.2,1828.2,4319.2,62.5,2.3,0.6,48.169838999999996,58.192422,29.419597,46.836412
Puglia,2019,21.6,0.4,2.5,15.3,0.5,18.4,205.8,418.6,0.5,0.4,13.0,1.0,102.6,14.0,31.6,305.1,0.7,18.7,8.0,0.0,1.5,0.2,3.2,0.0,1.2,0.7,1.8,0.5,0.0,0.0,132.8,3.8,15.3,23.2,0.0,694.9,61.0,0.6,29.1,31.7,0.6,5.2,6.8,80.2,0.1,12.1,261.4,0.0,146.4,0.5,2.2,1595.0,4080.4,57.3,2.8,0.3,44.626023,53.585757,24.912470999999996,45.353068
Puglia,2020,22.2,0.5,2.0,12.5,0.2,17.7,163.9,340.9,1.3,0.2,6.8,0.9,84.7,19.6,29.9,286.2,0.8,18.5,9.8,0.0,1.0,0.0,2.4,0.0,0.5,0.6,1.9,0.7,0.0,0.1,125.3,4.1,11.9,18.5,0.0,715.6,34.9,0.2,23.4,26.1,0.7,5.9,5.1,58.8,0.0,11.5,336.3,0.0,106.7,0.3,2.1,1244.7,3780.6000000000004,61.0,3.2,0.4,42.714763,55.276505,23.675422,39.651705
