Territory,Year,arson,attacks,attempted homicides,bag-snatching,bank robbery,blows,burglary,car theft,child pornography and possession of paedo-pornographic materials,corruption of a minor,counteractions of goods and industrial products,criminal association,culpable injuries,cybercrime,damage followed by arson,damages,exploitation and abetting prostitution,extortions,forest arson,homicides for theft or robbery,homicides from road accident,homicides of mafia,house robbery,infanticides,intellectual property violations,intentional homicides,kidnappings,mafia criminal association,manslaughter,mass murder,menaces,money laundering,moped theft,motorcycle theft,offences,other crimes,pickpocketing,post office robbery,receiving stolen goods,robberies,sexual activity with a minor,sexual violence,shop robbery,shoplifting,smuggling,street robbery,swindles and cyber frauds,terrorist homicides,theft from vehicle,theft of art objets,theft of cargo trucks carrying freights,thefts,total_crime,trafficking and drugs possession,unintentional homicides,usury,all_levels_education,"no educational degree, primary and lower secondary school certificate","tertiary (university, doctoral and specialization courses)",upper and post secondary
Calabria,2020,39.6,1.2,2.3,3.1,0.1,23.6,91.9,102.1,1.0,0.2,2.5,2.0,83.7,20.8,35.4,306.2,0.5,17.8,30.0,0.1,1.3,0.1,2.2,0.0,1.2,0.7,1.0,1.0,0.1,0.0,169.2,3.0,6.2,11.6,0.0,805.9,13.3,0.1,20.3,12.0,0.8,6.7,1.3,32.0,0.0,5.8,365.4,0.0,53.3,0.5,1.4,635.9,3436.7,59.5,3.5,0.5,60.597077999999996,77.220414,39.701653,57.05703
Calabria,2021,45.8,0.7,2.6,3.7,0.0,30.3,81.4,96.4,2.1,0.1,5.1,1.9,91.7,23.4,42.3,365.5,1.1,17.2,33.7,0.0,2.0,0.1,2.2,0.0,0.3,0.5,1.3,0.6,0.2,0.1,177.7,1.6,7.0,10.6,0.0,896.6,15.9,0.1,18.8,9.7,0.8,5.9,0.9,34.7,0.0,4.7,424.9,0.0,41.6,0.2,1.0,605.6,3665.4,55.4,5.2,0.3,54.383635,63.992021,35.254231,55.878343
Campania,2018,8.3,0.6,2.2,47.5,0.6,25.7,163.9,355.6,0.6,0.3,16.8,1.6,127.2,15.7,9.5,181.8,0.9,22.4,1.4,0.0,1.2,0.1,4.0,0.0,2.4,0.7,2.6,0.6,0.1,0.1,167.8,4.7,31.2,97.0,0.0,774.8,147.6,0.4,35.0,104.3,0.7,5.5,7.0,92.1,6.9,72.5,353.7,0.0,219.8,0.6,1.4,1810.2,4544.3,58.0,2.5,0.8,61.334804,81.521981,30.841927,56.835558
Campania,2019,15.3,0.4,2.2,42.4,0.4,25.3,151.4,384.1,1.4,0.2,17.2,1.2,121.1,19.1,10.7,183.2,0.7,20.7,6.7,0.0,1.3,0.2,2.7,0.0,1.6,0.6,1.5,1.2,0.1,0.0,164.0,3.6,29.2,85.0,0.0,815.4,138.7,0.3,30.9,83.3,0.7,5.8,6.0,75.8,6.3,55.8,355.1,0.0,200.1,0.3,1.1,1699.8,4406.9,52.8,3.0,0.7,60.465755,81.695743,33.553757,53.783441999999994
Campania,2020,16.6,0.3,2.1,29.7,0.2,24.8,107.0,338.6,1.0,0.1,11.3,1.1,94.3,26.1,9.1,160.6,0.7,20.2,9.3,0.0,0.9,0.2,2.9,0.0,0.5,0.6,1.5,0.9,0.1,0.0,153.3,3.7,23.9,75.6,0.0,820.8,73.2,0.1,24.6,63.6,0.7,5.5,6.1,49.1,7.9,38.8,425.1,0.0,128.9,0.2,0.7,1277.0,3922.8999999999996,45.0,2.8,0.8,55.41375600000001,75.43062499999999,31.066035,49.698847
Campania,2021,13.6,0.4,2.2,35.6,0.1,28.3,126.5,388.5,1.6,0.1,12.0,1.4,101.4,30.4,10.1,193.9,0.4,21.0,7.1,0.0,1.6,0.3,2.9,0.0,0.4,0.8,1.4,1.1,0.0,0.1,156.2,3.7,30.7,89.4,0.0,902.2,94.8,0.3,23.8,62.3,0.9,6.6,6.5,54.4,8.6,37.9,487.3,0.0,133.9,0.4,0.5,1496.5,4355.3,41.9,3.6,0.6,58.057344,80.93602,26.585821,53.728169
Centro,2011,21.4,0.5,2.6,27.3,3.2,21.4,366.2,215.6,0.6,0.2,23.6,2.0,116.6,13.7,9.5,682.6,2.8,9.7,11.3,0.0,2.3,0.0,5.2,0.0,2.7,0.7,2.8,0.0,0.1,0.0,129.7,2.1,55.0,110.1,105.8,707.3,271.7,0.7,44.1,61.3,0.7,8.1,11.8,176.7,0.8,26.6,171.9,0.0,348.7,1.7,1.5,2720.0,5831.6,70.3,3.2,0.5,23.01127,0.0,0.0,0.0
Centro,2012,23.9,0.6,2.3,31.4,2.4,23.8,428.8,219.0,0.7,0.2,26.0,2.4,123.4,15.6,10.3,655.9,3.0,10.1,13.8,0.1,2.3,0.0,5.9,0.0,2.6,0.6,2.8,0.0,0.1,0.0,142.4,2.9,49.5,104.3,113.1,765.6,331.3,0.7,49.6,63.6,1.0,8.8,13.0,191.8,0.8,27.6,200.2,0.0,374.9,1.3,1.5,2931.5,6240.5,75.2,3.4,0.6,28.868061,0.0,0.0,0.0
Centro,2013,10.8,0.5,2.2,33.5,2.3,23.0,430.2,201.5,1.0,0.2,18.1,1.5,112.4,19.2,8.4,576.0,2.5,10.7,3.8,0.1,1.8,0.0,5.8,0.0,1.1,0.8,2.3,0.1,0.1,0.0,135.1,4.6,40.2,86.5,104.7,832.7,390.7,0.6,46.5,59.8,0.7,7.8,10.6,201.3,0.4,28.2,225.5,0.0,370.9,1.4,1.4,2949.7,6184.5,74.6,2.9,0.5,32.70807,0.0,0.0,0.0
Centro,2014,9.4,0.6,1.9,32.4,1.3,21.7,414.4,187.9,1.0,0.3,17.3,1.3,110.6,24.8,8.1,452.3,2.4,12.2,2.6,0.1,1.9,0.0,5.6,0.0,1.3,0.9,2.1,0.0,0.1,0.0,127.7,3.6,34.4,84.4,98.8,762.5,436.1,0.7,48.2,57.4,0.9,7.6,11.0,191.0,0.2,27.6,207.7,0.0,405.9,1.1,1.1,2989.5,5960.7,75.0,2.9,0.6,34.628890999999996,0.0,0.0,0.0
